text,Airline,name,"retweet_count",sentiment,"tweet_location"
"""LOL you guys are so on it"" - me. had this been 4 months ago...“: Our fleet's on fleek. http://t.co/LYcARlTFHl”",jetblue,SeanUppercut,0,,"Detroit. MI"
" Real RT : Our fleet's on fleek. http://t.co/ERzht75kqZ",jetblue,UAKShine,0,,Bushmansted
" nothelpful MT : Our call volume is extremely high today. Our apologies. Please continue contacting Reservations for assistance.",americanair,sarrraright,0,,"Cathedral Heights"
"&lt:3 &lt:3 RT !  Sorry to hear about the WiFi connection. Dani. Please DM us your conf   so we can help you. Thanks!",southwestair,danihampton,0,,
"*On the brink of bankruptcy. “: Our fleet's on fleek. http://t.co/01ldxn3QqQ”",jetblue,MelechT,4,,DMV
".  condescension must be a quality your co rewards. Your tone reeks of it",southwestair,81FSUnole,0,,"Chapel Hill. NC"
".  It's been Cancelled Flighted. Your SM response is slow.",usairways,LucyALloyd,0,,"Downers Grove"
".  5 hours. 3 gates. and 3 planes Late Flightr still not an update. explanation. or apology to be had.  WorstAirlineEver  UnitedAirlines",united,gtotheoff,1,,
".  sad that you don't think it is important to resolve your client facing team that behaves disgraceful",united,LJ3000,0,,
".  you know your updates every 6 hours telling me you don't know where my bags are is also equally irritating.  ColtsMissingBags",united,ColtSTaylor,0,,"All Over The World"
"..... Can you not? “: Our fleet's on fleek. http://t.co/udPq0flIQo”",jetblue,HalcyonFatou,0,,FL
"............. RT : Our fleet's on fleek. http://t.co/X7iLzqdwe2",jetblue,NaijaMane,0,,"Flexin in Zamunda"
" (2/3) ...I sat on the runway for 4 MORE HRS b4 takeoff (10 hrs Late Flight. 4:30 AM). Pilot plainly stated it was a comp/mech issue.",americanair,chasefoster,0,,"Nashville/Space"
"  Would be great to get some help too! I've been trying since last night to get through.",americanair,RMauldin,0,,Texas
"  Would be nice if you could actually talk to the reserv. team...it just hangs up on you and has been since last night.",americanair,RMauldin,1,,Texas
"  it's really the small things--the details--that make an excellent experience or a really irritating one.",americanair,"_JamesGlenn",0,,KFAR
"  Add insult to injury you guys ""misplaced"" my bag. ",usairways,monumentsinking,0,,
" Advised GAs and pilot of my flight. Too bad no one took action.",americanair,garytx,0,,"Austin. Texas area"
" Alright prove it: (1/3) 3 days ago. I sat on a plane at JFK for 3 hrs. deplaned for 3 more. and when I re-boarded...",americanair,chasefoster,0,,"Nashville/Space"
" Also. not the reservations team's fault. Bad top-down decision. I feel bad for the reservations AND social media teams.",americanair,DanielLassman,0,,"Ocean Ridge. FL"
" Flight 654 Delayed / Flight 409 You sold my seat / flight 0671 strand me in PHX for three hours. Thanks for the memories 😡😤😖😲😩",americanair,monumentsinking,0,,"PDX JFK SFO BDL"
" Hopefully it's all fixed. They've got a new aircraft for us- just waiting to board.",americanair,jaxyeary,0,,"Washington. DC via Wisconsin"
" I can't even get on the phone with your reservations team. The system automatically disconnects us.",americanair,DanielLassman,0,,"Ocean Ridge. FL"
" No. I watched these bags be abandoned at depart gate. Watched for &gt:40 mins until owner returned. 20+ mins after I reported",americanair,garytx,3,,"Austin. Texas area"
" ReFlight Booking Problems for the following day is unacceptable. DMing you that and our phone number.",americanair,mattlurrie,0,,"New York City"
" can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.",americanair,skgiffard,0,,"Boston. MA"
" cover a rental car or refund our ticket? - I'll gladly drive 10 hrs home than be stuck here till Tues!",americanair,"tj_carlson",0,,"Brookings. SD"
" how about connecting me with a customer service rep? I'd rather speak to a person than a computer. Thanks!",americanair,alexbuffer,0,,"district of columbia"
" just disappointed with the Flight Booking Problems process and add’l fees to sit together on a more crowded flight. Not impressed so far :-/.",americanair,trentgillaspie,0,,"Austin. but often Denver"
" nice 2 know. I paid 4 a seat. Then you sold my seat. now I bought a 3rd seat. It's a good scam. but a scam all the same.",americanair,rcshore,0,,"Washington. DC"
": the best the agent could do is put me on a flight arriving tomorrow afternoon. with a six hour layover.",americanair,realfrecks,0,,"New York. NY"
" 4 min response time. I'm impressed! I'm in. It's official.  :-)  trueblue  JetBlue gets social.",jetblue,"Paul_Conn",0,,"New York"
"  😂😂😂😂😂OMG. Bored & read through this convo.. Seems like JetBlue is on point.",jetblue,HisBoots,0,,"Live Free or Die"
" Ah grasshopper. your twitterz kung fu no good.  Hire geeks. http://t.co/8MWItRi9kF",jetblue,noplasticshower,0,,"planet earth"
" Delete this tweet.",jetblue,TaocHoddock,0,,Denmark
" Navigating through 2 rebooks due to flu & ice to visit my Mother.  Your CS reps have been so very helpful. patient and friendly.",jetblue,sharkb8t,0,,"Washington. DC 20003"
" That's what I planned on but Boston traffic due to recent weather was insane! If I had been expedited I would have made it.",jetblue,"Amanda_Healy",0,,"Boston. MA"
" Wish you would make Austin. TX a hub. Missing you as my “only” airline for all my biz travel since I moved from BOS. :(",jetblue,cflanagan,1,,"ÜT: 48.837756.2.320214"
" handled 's question like social media pros. Good practice for when our transportation systems are all run by friendly AIs!",jetblue,DJSundog,0,,"Pescadero. CA"
" i'm sorry.  Boarding chaos is underway.  Please query again post scrum.",jetblue,noplasticshower,0,,"planet earth"
" ooookay  that's silly of you. guess we're ""watching"" the oscars purely on Twitter reactions tonight.  oscars",jetblue,joshmirm,0,,Brooklyn
" process begins 6:48",jetblue,noplasticshower,0,,"planet earth"
